Embedded Platform Name,SMB Name,Loan Funded On,Loan Amount,Pipe Fees,Repaid Total So Far,Liquidity Risk,Revenue Drop Risk,Non-Payment Risk
Priority,SMB_31592,2025-01-22 17:39:40.877497,29830,2169.82,2996.9078233477785,0,0,0
Boulevard,SMB_47936,2024-05-13 17:39:40.989243,15732,1507.31,12574.644200011247,0,0,1
Housecall Pro,SMB_61612,2024-03-21 17:39:41.083060,21197,1985.04,16396.177988089734,1,0,0
Housecall Pro,SMB_74314,2024-09-16 17:39:41.180279,22517,2545.83,8738.541948354065,0,0,0
Housecall Pro,SMB_80506,2024-12-20 17:39:41.219326,20861,1434.59,3646.670352508948,1,0,0
Housecall Pro,SMB_63810,2024-07-25 17:39:41.097197,25763,1430.81,13789.979801263418,0,0,0
Boulevard,SMB_49067,2024-09-22 17:39:40.997237,12925,1365.9,5292.356550017523,0,0,0
Housecall Pro,SMB_84734,2024-12-15 17:39:41.247551,20913,2026.22,4323.351175644644,0,1,0
Boulevard,SMB_48496,2024-07-23 17:39:40.992923,9715,611.75,5219.9484104726935,0,0,0
Boulevard,SMB_48932,2024-08-21 17:39:40.996298,13187,1492.38,6846.426306379345,0,0,0
Priority,SMB_31801,2024-06-07 17:39:40.878746,28825,2590.27,18815.974470949455,0,0,0
Priority,SMB_11551,2024-10-01 17:39:40.728016,30624,2448.12,10769.602510409124,0,0,0
Priority,SMB_7980,2024-04-20 17:39:40.702006,9181,826.32,7832.989556020931,0,0,0
Housecall Pro,SMB_85847,2024-08-29 17:39:41.254297,27863,2803.16,11948.988438167278,0,0,0
Housecall Pro,SMB_99312,2024-07-28 17:39:41.340381,21085,2293.13,11929.61693528315,0,0,0
Boulevard,SMB_41528,2024-11-20 17:39:40.944166,31041,2965.37,7405.652871547068,0,0,0
Priority,SMB_27203,2024-08-11 17:39:40.845005,15234,929.94,7067.3136770913,1,0,0
Priority,SMB_14237,2024-05-30 17:39:40.746104,32175,2074.33,19873.446306696485,0,0,0
Housecall Pro,SMB_62744,2024-12-20 17:39:41.090122,26649,1638.28,4473.254500096538,0,0,0
Boulevard,SMB_42798,2025-01-25 17:39:40.953378,15911,1836.45,1500.626443105283,0,0,0
Housecall Pro,SMB_52515,2024-07-27 17:39:41.023130,16834,1295.03,9552.960783672726,0,0,0
Housecall Pro,SMB_92066,2025-01-29 17:39:41.293233,30114,3228.42,2027.0986902214013,1,0,0
Housecall Pro,SMB_65800,2024-06-12 17:39:41.108966,20094,1043.38,14009.131930900623,0,1,0
Priority,SMB_273,2024-03-09 17:39:40.646126,7966,914.53,7169.400000000001,1,0,0
Priority,SMB_39756,2024-06-16 17:39:40.931551,6846,522.93,3947.040582842637,0,0,0
Housecall Pro,SMB_84498,2024-11-13 17:39:41.246125,10249,644.07,2512.3230860065078,1,0,0
Priority,SMB_15797,2024-03-11 17:39:40.758214,7449,826.9,6704.1,0,0,0
Priority,SMB_19820,2024-03-03 17:39:40.787462,19825,1078.14,17842.5,0,0,0
Housecall Pro,SMB_77188,2024-04-06 17:39:41.197444,25202,1477.05,19443.000094975625,0,0,0
Boulevard,SMB_49721,2024-08-17 17:39:41.001690,20467,1714.13,10125.21995224128,1,0,0
Priority,SMB_3199,2024-11-24 17:39:40.665851,9285,830.11,2423.4918114628626,0,0,0
Housecall Pro,SMB_94301,2024-05-03 17:39:41.306991,9031,871.73,6603.184758959508,0,0,0
Housecall Pro,SMB_92983,2024-11-17 17:39:41.298716,8132,728.42,2068.436172609461,0,0,0
Priority,SMB_927,2024-08-15 17:39:40.650817,17273,1358.82,7929.401567026335,1,0,0
Priority,SMB_28975,2024-06-06 17:39:40.858001,12980,1052.89,8115.309355755164,0,0,0
Housecall Pro,SMB_69663,2024-07-23 17:39:41.137461,7594,890.54,4444.641519677035,0,0,0
Housecall Pro,SMB_96979,2024-08-02 17:39:41.324304,29321,1848.59,15731.232512950373,0,0,0
Priority,SMB_27524,2024-04-30 17:39:40.847595,25058,1260.32,19991.178260027045,0,0,0
Housecall Pro,SMB_84923,2025-01-26 17:39:41.248678,28379,2085.64,2479.4575491390437,1,0,0
Housecall Pro,SMB_94236,2024-11-25 17:39:41.306609,22067,2135.15,5098.222322192088,0,0,0
Housecall Pro,SMB_61990,2024-08-25 17:39:41.085479,9304,761.23,4793.8494964122,0,0,0
